,Distance,EntityID,ReferenceID,UCRGroup,Class,Latitude,Longitude,GeoHash,DateTime,AgencyID,Agency,EventRecord
EVE17275202452530134026:3236531401,3.99,EVE17275202452530134026:3236531401,AVCC-2015-00000191,9,9,32.30361322160576,-106.80487273402865,9tspc8en,2015-01-07 22:01:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '9', 'Class': 'Assault - Simple', 'IRNumber': 'AVCC-2015-00000191', 'Crime': 'BATTERY', 'LocationType': 'Jail/Prison', 'AddressOfCrime': 'DONA ANA COUNTY DETENTION CENTER, 18XX COPPER, LAS CRUCES, NM 88005', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.80487273402865', 'YCoordinate': '32.30361322160576', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-07 22:01:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '3.99', 'label': 'Assault - Simple'}}, 'CustomHtml': ''}"
EVE15850015064342510737:3236531417,7.69,EVE15850015064342510737:3236531417,AVCC-2015-00000183,9,9,32.382764697294974,-106.79132536725571,9tu01zhg,2015-01-07 17:52:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '9', 'Class': 'Assault - Simple', 'IRNumber': 'AVCC-2015-00000183', 'Crime': 'ASSAULT', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '49XX DEL REY BLVD, LAS CRUCES, NM 88012', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.79132536725571', 'YCoordinate': '32.382764697294974', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-07 17:52:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '7.69', 'label': 'Assault - Simple'}}, 'CustomHtml': ''}"
EVE1303924849255535699:3236531419,16.36,EVE1303924849255535699:3236531419,AVCC-2015-00000185,12,12,32.068050786482566,-106.61628450561363,9tsnmvu3,2015-01-07 17:50:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '12', 'Class': 'Theft', 'IRNumber': 'AVCC-2015-00000185', 'Crime': 'ALL OTHER LARCENIES', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '1XX SALTBUSH DR, BERINO, NM 88024', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.61628450561363', 'YCoordinate': '32.068050786482566', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-07 17:50:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '16.36', 'label': 'Theft'}}, 'CustomHtml': ''}"
EVE2196275143053218071:3236531415,19.62,EVE2196275143053218071:3236531415,AVCC-2015-00000181,9,9,32.021413621605745,-106.60221103402864,9tsnnjqd,2015-01-07 16:56:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '9', 'Class': 'Assault - Simple', 'IRNumber': 'AVCC-2015-00000181', 'Crime': 'BATTERY', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '@DASO ANTHONY SUB STATION (MEDIA SENSITIV, ANTHONY, NM, 88021', 'Accuracy': 'Street', 'TCoordinate': '0.0', 'XCoordinate': '-106.60221103402864', 'YCoordinate': '32.021413621605745', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-07 16:56:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '19.62', 'label': 'Assault - Simple'}}, 'CustomHtml': ''}"
EVE13052986409506521722:3236526888,3.62,EVE13052986409506521722:3236526888,AVCC-2015-00000447,16,16,32.29972158978872,-106.80005341021128,9tsp9xyx,2015-01-07 16:52:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '16', 'Class': 'Motor Vehicle Theft', 'IRNumber': 'AVCC-2015-00000447', 'Crime': 'UNLAWFUL TAKING OF MOTOR VEHICLE', 'LocationType': 'Hotel/Motel', 'AddressOfCrime': 'COACHLIGHT INN, 3XX S MOTEL BLVD, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.80005341021128', 'YCoordinate': '32.29972158978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-07 16:52:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '3.62', 'label': 'Motor Vehicle Theft'}}, 'CustomHtml': ''}"
EVE12924712222547725262:3236531382,25.15,EVE12924712222547725262:3236531382,AVCC-2015-00000177,13,13,32.03902702906237,-106.41991615271561,9tsq62e2,2015-01-07 14:23:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '13', 'Class': 'Fraud / Forgery', 'IRNumber': 'AVCC-2015-00000177', 'Crime': 'FRAUD. TRANS. OF CREDIT CARD', 'LocationType': 'Service/Gas Station', 'AddressOfCrime': 'CHAPARRAL SUBStation, 1XX E LISA DR, CHAPARRAL, NM 88081', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.41991615271561', 'YCoordinate': '32.03902702906237', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-07 14:23:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '25.15', 'label': 'Fraud / Forgery'}}, 'CustomHtml': ''}"
EVE2952965107695626595:3236531602,17.62,EVE2952965107695626595:3236531602,AVCC-2015-00000156,26,26,32.48854514436206,-106.91540389650959,9tgbz46e,2015-01-06 23:24:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '26', 'Class': 'All Other - Non-Criminal', 'IRNumber': 'AVCC-2015-00000156', 'Crime': 'CRIMINAL TRESPASS', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '11XX FORT SELDEN RD, RADIUM SPRINGS, NM 88054', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.91540389650959', 'YCoordinate': '32.48854514436206', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 23:24:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '17.62', 'label': 'All Other - Non-Criminal'}}, 'CustomHtml': ''}"
EVE11658572252501959192:3236527847,2.86,EVE11658572252501959192:3236527847,AVCC-2015-00000399,16,16,32.31748858978872,-106.72430501021128,9tspg7jx,2015-01-06 22:14:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '16', 'Class': 'Motor Vehicle Theft', 'IRNumber': 'AVCC-2015-00000399', 'Crime': 'UNLAWFUL TAKING OF MOTOR VEHICLE', 'AddressOfCrime': '32XX ARROWHEAD RD, LAS CRUCES, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.72430501021128', 'YCoordinate': '32.31748858978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 22:14:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.86', 'label': 'Motor Vehicle Theft'}}, 'CustomHtml': ''}"
EVE2175694662958577997:3236531609,2.14,EVE2175694662958577997:3236531609,AVCC-2015-00000143,8,8,32.25260608316987,-106.72413145876104,9tsp7rmv,2015-01-06 16:07:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '8', 'Class': 'Assault - Aggravated', 'IRNumber': 'AVCC-2015-00000143', 'Crime': 'AGGRAVATED ASSAULT', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '59XX LAS ALTURAS DR, LAS CRUCES, NM 88012', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.72413145876104', 'YCoordinate': '32.25260608316987', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 16:07:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '2.14', 'label': 'Assault - Aggravated'}}, 'CustomHtml': ''}"
EVE15619063075703911170:3236531608,4.55,EVE15619063075703911170:3236531608,AVCC-2015-00000142,12,12,32.30708788648256,-106.81369140561364,9tspc3kd,2015-01-06 15:50:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '12', 'Class': 'Theft', 'IRNumber': 'AVCC-2015-00000142', 'Crime': 'ALL OTHER LARCENIES', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '8XX N MOTEL BLVD, Las Cruces, NM 88007', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.81369140561364', 'YCoordinate': '32.30708788648256', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 15:50:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '4.55', 'label': 'Theft'}}, 'CustomHtml': ''}"
EVE8250302748537730611:3236527828,2.33,EVE8250302748537730611:3236527828,AVCC-2015-00000369,10,10,32.31206198978872,-106.73387401021128,9tspg4nz,2015-01-06 14:48:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '10', 'Class': 'Burglary - Commercial', 'IRNumber': 'AVCC-2015-00000369', 'Crime': 'BURGLARY OF A DWELLING', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '26XX IDAHO AVE #F136, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73387401021128', 'YCoordinate': '32.31206198978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 14:48:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.33', 'label': 'Burglary - Commercial'}}, 'CustomHtml': ''}"
EVE5700308621230694220:3236524951,2.30,EVE5700308621230694220:3236524951,AVCC-2015-00000580,17,17,32.31059608978872,-106.73009591021129,9tspg3cw,2015-01-06 13:00:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '17', 'Class': 'Burglary from Motor Vehicle', 'IRNumber': 'AVCC-2015-00000580', 'Crime': 'AUTO BURGLARY', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '15XX S TELSHOR BLVD #E7, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73009591021129', 'YCoordinate': '32.31059608978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 13:00:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.30', 'label': 'Burglary from Motor Vehicle'}}, 'CustomHtml': ''}"
EVE14364926280160402505:3236527855,1.36,EVE14364926280160402505:3236527855,AVCC-2015-00000385,10,10,32.29575488978872,-106.75555321021129,9tspdxqb,2015-01-06 12:00:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '10', 'Class': 'Burglary - Commercial', 'IRNumber': 'AVCC-2015-00000385', 'Crime': 'BURGLARY OF A DWELLING', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '20XX CORN DR, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.75555321021129', 'YCoordinate': '32.29575488978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 12:00:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '1.36', 'label': 'Burglary - Commercial'}}, 'CustomHtml': ''}"
EVE12996716178217378814:3236531888,2.33,EVE12996716178217378814:3236531888,AVCC-2015-00000335,17,17,32.31206198978872,-106.73387401021128,9tspg4nz,2015-01-06 07:37:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '17', 'Class': 'Burglary from Motor Vehicle', 'IRNumber': 'AVCC-2015-00000335', 'Crime': 'AUTO BURGLARY', 'AddressOfCrime': '26XX E IDAHO AVE, APT. 146, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73387401021128', 'YCoordinate': '32.31206198978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 07:37:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.33', 'label': 'Burglary from Motor Vehicle'}}, 'CustomHtml': ''}"
EVE18095430589039435177:3236531902,2.28,EVE18095430589039435177:3236531902,AVCC-2015-00000338,17,17,32.31037488978872,-106.73009511021128,9tspg3ct,2015-01-06 00:30:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '17', 'Class': 'Burglary from Motor Vehicle', 'IRNumber': 'AVCC-2015-00000338', 'Crime': 'AUTO BURGLARY', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '1555 S TELSHOR BLVD (LAS QUINTAS), XX NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73009511021128', 'YCoordinate': '32.31037488978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-06 00:30:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.28', 'label': 'Burglary from Motor Vehicle'}}, 'CustomHtml': ''}"
