ori,agency_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude
CA0010000,Alameda County Sheriff's Office,California,CA,Pacific,West,Region IV,ALAMEDA,County,False,,37.802,-122.26236
CA0010100,Alameda Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.766888,-122.24273
CA0010200,Albany Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.887703,-122.29825
CA0010300,Berkeley Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.870537,-122.27298
CA0010400,Emeryville Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.648134,-121.913291
CA0010500,Fremont Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.553017,-121.97069
CA0010600,Hayward Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.662106,-122.08672
CA0010700,Livermore Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.674633,-121.756935
CA0010800,Newark Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.536236,-122.02951
CA0010900,Oakland Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.79965,-122.27459
CA0011000,Piedmont Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.824814,-122.23214
CA0011100,Pleasanton Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.648134,-121.913291
CA0011200,San Leandro Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.648134,-121.913291
CA0011300,Union City Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.58882,-122.02747
CA0011400,East Bay Regional Parks: Alameda County,California,CA,Pacific,West,Region IV,ALAMEDA,Other,False,,37.71378,-122.10035
CA0011500,California State University: East Bay,California,CA,Pacific,West,Region IV,ALAMEDA,University or College,False,,37.658787,-122.062225
CA0011600,Union Pacific Railroad: Alameda County,California,CA,Pacific,West,Region IV,ALAMEDA,Other,False,,37.798763,-122.24971
CA0012100,San Francisco Bay Area Rapid Transit: Alameda County,California,CA,Pacific,West,Region IV,ALAMEDA,Other,False,,37.79742,-122.26664
CA001300X,Dublin Police Department,California,CA,Pacific,West,Region IV,ALAMEDA,City,False,,37.799427,-122.262505
CA0014100,Department of Parks and Recreation:,California,CA,Pacific,West,Region IV,ALAMEDA,Other State Agency,False,,,
CA0019700,University of California: Berkeley,California,CA,Pacific,West,Region IV,ALAMEDA,University or College,False,,37.648134,-121.913291
CA0019900,Highway Patrol: Alameda County,California,CA,Pacific,West,Region IV,ALAMEDA,State Police,False,,37.606228,-122.06034
CA0020000,Alpine County Sheriff's Office,California,CA,Pacific,West,Region IV,ALPINE,County,False,,38.61761,-119.798999
CA0029900,Highway Patrol: Alpine County,California,CA,Pacific,West,Region IV,ALPINE,State Police,False,,38.85127,-120.01934
CA0030000,Amador County Sheriff's Office,California,CA,Pacific,West,Region IV,AMADOR,County,False,,38.352863,-120.7679
CA0030200,Ione Police Department,California,CA,Pacific,West,Region IV,AMADOR,City,False,,38.44355,-120.653856
CA0030300,Jackson Police Department,California,CA,Pacific,West,Region IV,AMADOR,City,False,,38.347904,-120.77274
CA0030500,Sutter Creek Police Department,California,CA,Pacific,West,Region IV,AMADOR,City,False,,38.391117,-120.80235
CA0030600,Union Pacific Railroad: Amador County,California,CA,Pacific,West,Region IV,AMADOR,Other,False,,37.798763,-122.24971
CA0039900,Highway Patrol: Amador County,California,CA,Pacific,West,Region IV,AMADOR,State Police,False,,38.34309,-120.76263
CA0040000,Butte County Sheriff's Office,California,CA,Pacific,West,Region IV,BUTTE,County,False,,39.665959,-121.601919
CA0040200,Chico Police Department,California,CA,Pacific,West,Region IV,BUTTE,City,False,,39.735462,-121.81528
CA0040300,Gridley Police Department,California,CA,Pacific,West,Region IV,BUTTE,City,False,,39.365505,-121.69721
CA0040400,Oroville Police Department,California,CA,Pacific,West,Region IV,BUTTE,City,False,,39.508167,-121.554825
CA0040500,Paradise Police Department,California,CA,Pacific,West,Region IV,BUTTE,City,False,,39.75336,-121.62395
CA0040600,Union Pacific Railroad: Butte County,California,CA,Pacific,West,Region IV,BUTTE,Other,False,,37.798763,-122.24971
CA0040700,Department of Parks and Recreation: Northern Buttes,California,CA,Pacific,West,Region IV,BUTTE,Other State Agency,False,,39.510296,-121.50341
CA0049700,California State University: Chico,California,CA,Pacific,West,Region IV,BUTTE,University or College,False,,39.665959,-121.601919
CA0049900,Highway Patrol: Butte County,California,CA,Pacific,West,Region IV,BUTTE,State Police,False,,39.665959,-121.601919
CA0050000,Calaveras County Sheriff's Office,California,CA,Pacific,West,Region IV,CALAVERAS,County,False,,38.19131,-120.66931
CA0050100,City of Angels Police Department,California,CA,Pacific,West,Region IV,CALAVERAS,City,False,,38.184618,-120.5594
CA0050200,Union Pacific Railroad: Calaveras County,California,CA,Pacific,West,Region IV,CALAVERAS,Other,False,,38.184618,-120.5594
CA0050300,Department of Parks and Recreation: Calaveras County,California,CA,Pacific,West,Region IV,CALAVERAS,Other State Agency,False,,38.184618,-120.5594
CA0059900,Highway Patrol: Calaveras County,California,CA,Pacific,West,Region IV,CALAVERAS,State Police,False,,38.189983,-120.67146
CA0060000,Colusa County Sheriff's Office,California,CA,Pacific,West,Region IV,COLUSA,County,False,,39.205734,-122.00377
CA0060100,Colusa Police Department,California,CA,Pacific,West,Region IV,COLUSA,City,False,,39.21383,-122.009544
CA0060200,Williams Police Department,California,CA,Pacific,West,Region IV,COLUSA,City,False,,39.177739,-122.237563
CA0060300,Union Pacific Railroad: Colusa County,California,CA,Pacific,West,Region IV,COLUSA,Other,False,,37.798763,-122.24971
CA0069900,Highway Patrol: Colusa County,California,CA,Pacific,West,Region IV,COLUSA,State Police,False,,39.177739,-122.237563
CA0070000,Contra Costa County Sheriff's Office,California,CA,Pacific,West,Region IV,CONTRA COSTA,County,False,,38.01906,-122.13399
CA0070100,Antioch Police Department,California,CA,Pacific,West,Region IV,CONTRA COSTA,City,False,,37.919479,-121.951543
CA0070200,Brentwood Police Department,California,CA,Pacific,West,Region IV,CONTRA COSTA,City,False,,37.919037,-121.68469
CA0070300,Clayton Police Department,California,CA,Pacific,West,Region IV,CONTRA COSTA,City,False,,37.94229,-121.93776
CA0070400,Concord Police Department,California,CA,Pacific,West,Region IV,CONTRA COSTA,City,False,,37.919479,-121.951543
CA0070500,El Cerrito Police Department,California,CA,Pacific,West,Region IV,CONTRA COSTA,City,False,,37.916363,-122.31207
