data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",ori
2020.0,387.0,826.0,9.0,73.0,0.0,19.0,139.0,1299.0,81.0,7.0,6.0,8.0,0.0,0.0,0.0,101.0,0.0,0.0,27.0,4.0,0.0,10.0,10.0,49.0,387.0,142.0,0.0,5.0,52.0,137.0,27.0,CA0010000
2020.0,87.0,182.0,5.0,22.0,0.0,3.0,69.0,144.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,71.0,1.0,0.0,19.0,1.0,0.0,0.0,1.0,14.0,160.0,5.0,0.0,0.0,22.0,12.0,17.0,CA0010100
2020.0,152.0,273.0,11.0,128.0,0.0,1.0,77.0,392.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,287.0,0.0,0.0,49.0,4.0,0.0,0.0,3.0,76.0,220.0,26.0,0.0,8.0,40.0,47.0,27.0,CA0010300
2020.0,34.0,36.0,0.0,31.0,0.0,1.0,33.0,49.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,73.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,7.0,45.0,12.0,0.0,4.0,10.0,34.0,0.0,CA0010400
2020.0,120.0,185.0,7.0,85.0,0.0,1.0,60.0,208.0,41.0,8.0,1.0,2.0,0.0,0.0,0.0,67.0,0.0,0.0,61.0,1.0,0.0,0.0,3.0,43.0,101.0,52.0,0.0,0.0,33.0,36.0,15.0,CA0010500
2020.0,184.0,580.0,1.0,32.0,0.0,2.0,106.0,361.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,88.0,2.0,0.0,60.0,1.0,0.0,0.0,3.0,21.0,286.0,56.0,0.0,1.0,51.0,55.0,16.0,CA0010600
2020.0,110.0,215.0,2.0,41.0,0.0,3.0,207.0,451.0,86.0,7.0,4.0,11.0,0.0,0.0,0.0,89.0,1.0,0.0,7.0,1.0,0.0,0.0,5.0,29.0,102.0,85.0,0.0,5.0,12.0,50.0,7.0,CA0010700
2020.0,46.0,146.0,0.0,14.0,0.0,0.0,77.0,191.0,20.0,0.0,2.0,4.0,0.0,0.0,0.0,63.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,45.0,25.0,0.0,3.0,10.0,26.0,5.0,CA0010800
2020.0,1066.0,1352.0,22.0,348.0,0.0,42.0,232.0,341.0,9.0,20.0,25.0,5.0,10.0,0.0,0.0,101.0,2.0,2.0,565.0,52.0,6.0,184.0,30.0,294.0,1632.0,214.0,0.0,1.0,366.0,402.0,54.0,CA0010900
2020.0,0.0,9.0,0.0,2.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,CA0011000
